Location,Shift Type,Start,Finish,Position
Teacher,Regular,12/12/2016T09:30:00,12/12/2016T11:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:00:00,12/12/2016T12:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:00:00,12/12/2016T12:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:00:00,12/12/2016T12:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:00:00,12/12/2016T12:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:00:00,12/12/2016T12:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:00:00,12/12/2016T12:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:00:00,12/12/2016T12:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:30:00,12/12/2016T12:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:30:00,12/12/2016T12:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:30:00,12/12/2016T12:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:30:00,12/12/2016T12:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:30:00,12/12/2016T12:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T10:30:00,12/12/2016T12:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:00:00,12/12/2016T13:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:00:00,12/12/2016T13:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:00:00,12/12/2016T13:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:00:00,12/12/2016T13:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:00:00,12/12/2016T13:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:00:00,12/12/2016T13:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:00:00,12/12/2016T13:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T11:30:00,12/12/2016T13:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:00:00,12/12/2016T14:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:30:00,12/12/2016T14:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:30:00,12/12/2016T14:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:30:00,12/12/2016T14:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:30:00,12/12/2016T14:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:30:00,12/12/2016T14:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:30:00,12/12/2016T14:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T12:30:00,12/12/2016T14:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T13:00:00,12/12/2016T15:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T13:00:00,12/12/2016T15:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T13:00:00,12/12/2016T15:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T13:00:00,12/12/2016T15:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T13:00:00,12/12/2016T15:00:00,LP2 - Classic Intermediate
