Location,Shift Type,Start,Finish,Position
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573uAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573kAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573zAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T00:00:00.000EST,03/06/2017T02:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:30:00.000EST,03/06/2017T02:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:30:00.000EST,03/06/2017T02:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:30:00.000EST,03/06/2017T02:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:30:00.000EST,03/06/2017T02:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T00:30:00.000EST,03/06/2017T02:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T00:30:00.000EST,03/06/2017T02:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T01:00:00.000EST,03/06/2017T03:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T01:00:00.000EST,03/06/2017T03:00:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T01:00:00.000EST,03/06/2017T03:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T01:30:00.000EST,03/06/2017T03:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T01:30:00.000EST,03/06/2017T03:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T01:30:00.000EST,03/06/2017T03:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T02:00:00.000EST,03/06/2017T04:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T02:00:00.000EST,03/06/2017T04:00:00.000EST,a3731000000573uAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T02:00:00.000EST,03/06/2017T04:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T02:00:00.000EST,03/06/2017T04:00:00.000EST,a3731000000573kAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T02:00:00.000EST,03/06/2017T04:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T02:30:00.000EST,03/06/2017T04:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T02:30:00.000EST,03/06/2017T04:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T02:30:00.000EST,03/06/2017T04:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T03:00:00.000EST,03/06/2017T05:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T03:00:00.000EST,03/06/2017T05:00:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T03:00:00.000EST,03/06/2017T05:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T03:30:00.000EST,03/06/2017T05:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T03:30:00.000EST,03/06/2017T05:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T03:30:00.000EST,03/06/2017T05:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T04:00:00.000EST,03/06/2017T06:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T04:00:00.000EST,03/06/2017T06:00:00.000EST,a3731000000573uAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T04:00:00.000EST,03/06/2017T06:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T04:00:00.000EST,03/06/2017T06:00:00.000EST,a3731000000573kAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T04:00:00.000EST,03/06/2017T06:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T04:30:00.000EST,03/06/2017T06:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T04:30:00.000EST,03/06/2017T06:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T04:30:00.000EST,03/06/2017T06:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T05:00:00.000EST,03/06/2017T07:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T05:00:00.000EST,03/06/2017T07:00:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T05:00:00.000EST,03/06/2017T07:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T05:30:00.000EST,03/06/2017T07:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T05:30:00.000EST,03/06/2017T07:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T05:30:00.000EST,03/06/2017T07:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T06:00:00.000EST,03/06/2017T08:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T06:00:00.000EST,03/06/2017T08:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T06:00:00.000EST,03/06/2017T08:00:00.000EST,a3731000000573uAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T06:00:00.000EST,03/06/2017T08:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T06:00:00.000EST,03/06/2017T08:00:00.000EST,a3731000000573kAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T06:00:00.000EST,03/06/2017T08:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T06:30:00.000EST,03/06/2017T08:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T06:30:00.000EST,03/06/2017T08:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T06:30:00.000EST,03/06/2017T08:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T07:00:00.000EST,03/06/2017T09:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T07:00:00.000EST,03/06/2017T09:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T07:00:00.000EST,03/06/2017T09:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T07:00:00.000EST,03/06/2017T09:00:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T07:00:00.000EST,03/06/2017T09:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T07:30:00.000EST,03/06/2017T09:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T07:30:00.000EST,03/06/2017T09:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T07:30:00.000EST,03/06/2017T09:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T07:30:00.000EST,03/06/2017T09:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T07:30:00.000EST,03/06/2017T09:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T08:00:00.000EST,03/06/2017T10:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T08:00:00.000EST,03/06/2017T10:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T08:00:00.000EST,03/06/2017T10:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T08:00:00.000EST,03/06/2017T10:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T08:00:00.000EST,03/06/2017T10:00:00.000EST,a3731000000573uAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T08:00:00.000EST,03/06/2017T10:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T08:00:00.000EST,03/06/2017T10:00:00.000EST,a3731000000573kAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T08:00:00.000EST,03/06/2017T10:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T08:30:00.000EST,03/06/2017T10:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T08:30:00.000EST,03/06/2017T10:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T08:30:00.000EST,03/06/2017T10:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T08:30:00.000EST,03/06/2017T10:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T08:30:00.000EST,03/06/2017T10:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T09:00:00.000EST,03/06/2017T11:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:30:00.000EST,03/06/2017T11:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:30:00.000EST,03/06/2017T11:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:30:00.000EST,03/06/2017T11:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:30:00.000EST,03/06/2017T11:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:30:00.000EST,03/06/2017T11:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:30:00.000EST,03/06/2017T11:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:30:00.000EST,03/06/2017T11:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T09:30:00.000EST,03/06/2017T11:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T09:30:00.000EST,03/06/2017T11:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:00:00.000EST,03/06/2017T12:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:00:00.000EST,03/06/2017T12:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:00:00.000EST,03/06/2017T12:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:00:00.000EST,03/06/2017T12:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:00:00.000EST,03/06/2017T12:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:00:00.000EST,03/06/2017T12:00:00.000EST,a3731000000573uAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T10:00:00.000EST,03/06/2017T12:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T10:00:00.000EST,03/06/2017T12:00:00.000EST,a3731000000573kAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T10:00:00.000EST,03/06/2017T12:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:30:00.000EST,03/06/2017T12:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:30:00.000EST,03/06/2017T12:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:30:00.000EST,03/06/2017T12:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:30:00.000EST,03/06/2017T12:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:30:00.000EST,03/06/2017T12:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:30:00.000EST,03/06/2017T12:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T10:30:00.000EST,03/06/2017T12:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T10:30:00.000EST,03/06/2017T12:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T11:00:00.000EST,03/06/2017T13:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:30:00.000EST,03/06/2017T13:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:30:00.000EST,03/06/2017T13:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:30:00.000EST,03/06/2017T13:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:30:00.000EST,03/06/2017T13:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:30:00.000EST,03/06/2017T13:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T11:30:00.000EST,03/06/2017T13:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T11:30:00.000EST,03/06/2017T13:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573uAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573kAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T12:00:00.000EST,03/06/2017T14:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:30:00.000EST,03/06/2017T14:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:30:00.000EST,03/06/2017T14:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:30:00.000EST,03/06/2017T14:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:30:00.000EST,03/06/2017T14:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:30:00.000EST,03/06/2017T14:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:30:00.000EST,03/06/2017T14:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:30:00.000EST,03/06/2017T14:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T12:30:00.000EST,03/06/2017T14:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T12:30:00.000EST,03/06/2017T14:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T13:00:00.000EST,03/06/2017T15:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:30:00.000EST,03/06/2017T15:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:30:00.000EST,03/06/2017T15:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:30:00.000EST,03/06/2017T15:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:30:00.000EST,03/06/2017T15:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:30:00.000EST,03/06/2017T15:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:30:00.000EST,03/06/2017T15:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T13:30:00.000EST,03/06/2017T15:30:00.000EST,a3731000000573uAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T13:30:00.000EST,03/06/2017T15:30:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573uAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573kAAA
a33310000000eRrAAI,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573kAAA
a33310000019DbaAAE,a3e3100000067hy,03/06/2017T14:00:00.000EST,03/06/2017T16:00:00.000EST,a3731000000573zAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:30:00.000EST,03/06/2017T16:30:00.000EST,a3731000000573uAAA
a33310000019DbfAAE,a3e3100000067hy,03/06/2017T14:30:00.000EST,03/06/2017T16:30:00.000EST,a3731000000573uAAA
